name,size,time,comparisons
quicksort,577000,0.049541,6661069
quicksort,578000,0.050795,6494755
quicksort,579000,0.052825,6588355
quicksort,580000,0.050514,6182525
quicksort,581000,0.050906,6544151
quicksort,582000,0.051393,6685396
quicksort,583000,0.050225,6651292
quicksort,584000,0.049288,7497864
quicksort,585000,0.051082,6988598
quicksort,586000,0.049642,7003874
quicksort,587000,0.050349,7245534
quicksort,588000,0.050548,7049197
quicksort,589000,0.051979,6883215
quicksort,590000,0.050725,6728708
quicksort,591000,0.050476,6901416
quicksort,592000,0.051037,6698173
quicksort,593000,0.051451,7274655
quicksort,594000,0.052434,7359288
quicksort,595000,0.053228,7397914
quicksort,596000,0.052086,7309415
quicksort,597000,0.053052,7001171
quicksort,598000,0.051233,6974313
quicksort,599000,0.052982,6726521
quicksort,600000,0.051768,7367939
quicksort,601000,0.053847,6910275
quicksort,602000,0.052136,6916887
quicksort,603000,0.052830,6943886
quicksort,604000,0.052118,7316293
quicksort,605000,0.054444,6673305
quicksort,606000,0.054274,6980329
quicksort,607000,0.054249,7333147
quicksort,608000,0.053851,7093013
quicksort,609000,0.054013,7371793
quicksort,610000,0.052012,7181796
quicksort,611000,0.056778,7132034
quicksort,612000,0.053655,7518644
quicksort,613000,0.054260,7841390
quicksort,614000,0.053449,8627051
quicksort,615000,0.053883,7010793
quicksort,616000,0.069427,7579421
quicksort,617000,0.053197,8207585
quicksort,618000,0.056270,7278596
quicksort,619000,0.055046,7544224
quicksort,620000,0.055361,7636422
quicksort,621000,0.055256,8095228
quicksort,622000,0.056859,7134005
quicksort,623000,0.053554,7983279
quicksort,624000,0.055446,8084033
quicksort,625000,0.053593,7451974
quicksort,626000,0.054785,7954136
quicksort,627000,0.052046,7336401
quicksort,628000,0.057324,7297195
quicksort,629000,0.055961,7558964
quicksort,630000,0.056238,8799126
quicksort,631000,0.054733,7703192
quicksort,632000,0.057004,7964463
quicksort,633000,0.055687,8130223
quicksort,634000,0.057436,7713038
quicksort,635000,0.055743,7855086
quicksort,636000,0.056943,7444542
quicksort,637000,0.055469,7337354
quicksort,638000,0.058443,7448282
quicksort,639000,0.054422,7867238
quicksort,640000,0.058821,7180193
quicksort,641000,0.053783,7561952
quicksort,642000,0.059992,7922368
quicksort,643000,0.055981,7305192
quicksort,644000,0.057325,7175742
quicksort,645000,0.055670,8569932
quicksort,646000,0.058082,8049515
quicksort,647000,0.055438,7798482
quicksort,648000,0.058070,7929531
quicksort,649000,0.056338,7960537
quicksort,650000,0.060080,7471151
quicksort,651000,0.057220,7641277
quicksort,652000,0.057799,7225622
quicksort,653000,0.056806,8141943
quicksort,654000,0.060686,7485616
quicksort,655000,0.055972,8169900
quicksort,656000,0.060192,8631433
quicksort,657000,0.056531,7848196
quicksort,658000,0.060200,7577938
quicksort,659000,0.057030,7337850
quicksort,660000,0.060686,7749213
quicksort,661000,0.056317,8013384
quicksort,662000,0.059898,7309800
quicksort,663000,0.058599,7732194
quicksort,664000,0.060898,7520164
quicksort,665000,0.058168,8418225
quicksort,666000,0.062096,7829007
quicksort,667000,0.057850,7904224
quicksort,668000,0.061839,7796411
quicksort,669000,0.058235,8220636
quicksort,670000,0.060385,7947443
quicksort,671000,0.057799,7691626
quicksort,672000,0.061740,8189488
